,sentence,word_labels
10,"KING Ultrasoft Fitted Bed Sheet with Pillowcases - Dark Grey Sleep tight, sleep heavy, and sleep well with our Bedding Set. With its smooth textures, it is bonded to relax you down and to keep all the stress away.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
11,"KING SINGLE Ultrasoft Fitted Bed Sheet with Pillowcases - Silver Grey Sleep tight, sleep heavy, and sleep well with our Bedding Set. With its smooth textures, it is bonded to relax you down and to keep all the stress away.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
12,"QUEEN 1000TC 3-Piece Striped Blended Bamboo Quilt Cover Set - Charcoal This quilt cover set is made from a 40% natural bamboo and 60% premium microfibre blend with a luxurious 1000 thread count. Impeccably smooth and soft, with a silken lustre finish, they also feature a contemporary, striped design.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
13,"QUEEN 1200TC Stripe Cotton Blend Quilt Cover Sets - Silver Designed from an extremely fine weave, and comprising of 60% ultra-soft cotton, and 40% premium polyester, the quilt cover’s unique 1200 thread count sateen fabric is carefully woven so the ultra-soft cotton is on the face of the quilt cover and the premium polyester is underneath, to ensure a perfect night’s sleep, and a wrinkle-resistant finish for aesthetic purposes as well as comfort.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
14,"KING 1200TC Stripe Cotton Blend Quilt Cover Sets - Blush With its beautiful handle and silky feel, it is made from a luxurious blend of 60% pure soft cotton and 40% premium polyester.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
15,"QUEEN 1500TC Cotton Rich Quilt Cover Sets - Indigo With its beautiful handle and silky feel, it is made from a luxurious blend of 60% pure soft cotton and 40% premium polyester.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
16,Walter Pendant Size 2 by Original BTC Each Walter Pendant Size 2 is made to order by Original BTC in England for Australia. We use Australian approved electrical components. Each piece will take approximately Ten to Fourteen weeks to be made and delivered from your order date.,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
17,Octo 3 Wall Light Please note this item is not available for international shipping outside of Australia with FedEx Global Express. Please,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
18,"Original BTC Hector Bone China Dome Wall Light. White. One of the forerunners of industrial style Original BTC's updated classics and original designs are inspired by traditional factory fittings, childhood toys and iconic 1940s design.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
19,"Paxo Pendant Light. White We think it is the perfect kitchen island pendant. It looks stunning in multiples or as a single pendant and is made by hand in the Original BTC factory in Oxford, England.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
20,"Marimekko Pienet Kivet Cushion Cover (50 x 50cm) Welcome to our home. If you love what you see here get more inspiration from us delivered to your mailbox, by signing up below!","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
21,"Marimekko Siirtolapuutarha Rasymatto Bowl 1.5L Welcome to our home. If you love what you see here get more inspiration from us delivered to your mailbox, by signing up below!","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
22,"Marimekko Pieni Unikko Cushion Cover (50 x 50cm) Welcome to our home. If you love what you see here get more inspiration from us delivered to your mailbox, by signing up below!","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
23,"Marimekko Siirtolapuutarha Bowl 2.5dl Welcome to our home. If you love what you see here get more inspiration from us delivered to your mailbox, by signing up below!","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
24,"Form Coffee Table - Black Fusing exceeding versatility with soft lines, the Form Coffee Table is a seamless addition to any living space. Streamlined legs balance a slender, Oak tabletop, tracing a refined, unobtrusive silhouette that guests will flock to.Crafted with care it is made to last well into the future.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
25,Alistair Dining Chair - Black / Black Elevar Data Layer V2 This file is automatically updated and should not be edited directly. https://knowledge.getelevar.com/how-to-customize-data-layer-version-2 Updated: 2022-09-05 04:24:39+00:00 Version: 2.39.0,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
26,"Jam Sofa Left Corner Module Opal Ochre The Melbourne designed Jam Sofa pays homage to nostalgic influences, with a sculputural form blending style and practicality. This Left Corner piece combines with other Modules to create a perfect sofa, while its velvet fabric ensures a textural style is added to your Living Space. The Jam is completely modular, meaning you can create the sofa of your dreams with ease.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
27,"Jam Sofa Right Corner Module Opal Ochre The Melbourne designed Jam Sofa pays homage to nostalgic influences, with a sculputural form blending style and practicality. This Right Corner piece combines with other Modules to create a perfect sofa, while its velvet fabric ensures a textural style is added to your Living Space. The Jam is completely modular, meaning you can create the sofa of your dreams with ease.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
28,Snow Peak Art Paper Print 30Cm X 30Cm White Frame Elevar Data Layer V2 This file is automatically updated and should not be edited directly. https://knowledge.getelevar.com/how-to-customize-data-layer-version-2 Updated: 2022-09-05 04:24:39+00:00 Version: 2.39.0,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
29,Snow Peak Art Paper Print 50Cm X 50Cm Oak Frame Elevar Data Layer V2 This file is automatically updated and should not be edited directly. https://knowledge.getelevar.com/how-to-customize-data-layer-version-2 Updated: 2022-09-05 04:24:39+00:00 Version: 2.39.0,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
30,Snow Peak Art Paper Print 100Cm X 100Cm Elevar Data Layer V2 This file is automatically updated and should not be edited directly. https://knowledge.getelevar.com/how-to-customize-data-layer-version-2 Updated: 2022-09-05 04:24:39+00:00 Version: 2.39.0,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
31,Snow Peak Art Paper Print 150Cm X 150Cm White Frame Elevar Data Layer V2 This file is automatically updated and should not be edited directly. https://knowledge.getelevar.com/how-to-customize-data-layer-version-2 Updated: 2022-09-05 04:24:39+00:00 Version: 2.39.0,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
32,Navajo Rug - Mist 250cm x 350cm Elevar Data Layer V2 This file is automatically updated and should not be edited directly. https://knowledge.getelevar.com/how-to-customize-data-layer-version-2 Updated: 2022-09-05 04:24:39+00:00 Version: 2.39.0,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
33,Dumpling LHF Chaise Sofa - Silex Shoreline The Dumpling Sofa was inspired from grado’s Lord Series. Its rounded-top backrests add a classic visual interest to the sofa. Its firm and durable shape is guaranteed by the zip fitting its backrests.,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
34,Checked Mirror 80cm x 160cm - Sand Elevar Data Layer V2 This file is automatically updated and should not be edited directly. https://knowledge.getelevar.com/how-to-customize-data-layer-version-2 Updated: 2022-09-05 04:24:39+00:00 Version: 2.39.0,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
35,Checked Mirror 80cm x 160cm - Snow Elevar Data Layer V2 This file is automatically updated and should not be edited directly. https://knowledge.getelevar.com/how-to-customize-data-layer-version-2 Updated: 2022-09-05 04:24:39+00:00 Version: 2.39.0,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
36,Fabsa Porthole Mirror Get nautical with this porthole inspired mirror. Hand crafted from sustainable Mango wood and Iron. Available in 2 sizes.,"B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
37,Seville Lamp Table Sleek mid-century styling and hand crafted from recycled hardwood. Each plank is carefully selected and married sympathetically with others to create a design fingerprint that is unique every time. The Seville range embodies warmth and timeless elegance.,"B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
38,"Prahu Bar Table As the centerpiece of our Prahu Range of furniture, this rustic table not only has genuine appeal, it also has such a remarkable sustainability story behind it.","B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
39,Old Door Dining Table The Old Door is the product that really converted Vast’s love of salvaged timber into our first mainstream recycling success.,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
40,"‘Archie’ Shower Stool with rubber, padded feet","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT"
41,Classic Provence Headboard - Queen size,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT"
42,"‘Archie’ Shower Stool with rubber, padded feet - Wholesale","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT"
43,Six Shelf Mahogany Bookcase,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT"
44,SHARON MEDIUM SILVER LEAF CHANDELIER,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT"
45,GILDED IRON TORCH,"B-PRODUCT,I-PRODUCT,I-PRODUCT"
46,SINGLE SQUARE VOTIVES DONNA'S SIGNATURE SCENT CANDLE,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT"
47,LINEN & ROOM SPRAY DONNA'S SIGNATURE SCENT,"B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT"
48,"Alabaster Box Weave Linen - Swatch Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat finibus est non rhoncus. Fusce commodo dui ut pharetra porta. Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat finibus est non rhoncus. Fusce commodo dui ut pharetra porta.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
49,"Graphite Box Weave Linen - Swatch Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat finibus est non rhoncus. Fusce commodo dui ut pharetra porta. Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat finibus est non rhoncus. Fusce commodo dui ut pharetra porta.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
50,"Pumice Box Weave Linen - Swatch Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat finibus est non rhoncus. Fusce commodo dui ut pharetra porta. Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat finibus est non rhoncus. Fusce commodo dui ut pharetra porta.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
51,"Graphite Plush Velvet - Swatch Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat finibus est non rhoncus. Fusce commodo dui ut pharetra porta. Lorem ipsum dolor sit amet, consectetur adipiscing elit. In consequat finibus est non rhoncus. Fusce commodo dui ut pharetra porta.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
52,"Mulberry Ottoman Each piece is custom made-to-order by expert craftsmen in North America using high quality, naturally and locally based materials.","B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
53,"Madison Table Ottoman Each piece is custom made-to-order by expert craftsmen in North America using high quality, naturally and locally based materials.","B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
54,"Evans 6-Piece Total-Pit Sectional Each piece is custom made-to-order by expert craftsmen in North America using high quality, naturally and locally based materials.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
55,"Varick 5-Piece Corner Sectional Each piece is custom made-to-order by expert craftsmen in North America using high quality, naturally and locally based materials.","B-PRODUCT,I-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
56,Hawthorne Chair Scan the QR code using your smartphone or tablet to see your configured design in your space.,"B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
57,Carlisle Chair Scan the QR code using your smartphone or tablet to see your configured design in your space.,"B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
58,Sterling Chair Scan the QR code using your smartphone or tablet to see your configured design in your space.,"B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
59,Quinn Chair Scan the QR code using your smartphone or tablet to see your configured design in your space.,"B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
60,"Adeline Side Table Returnable for store credit within 14 days of delivery date. For more information, please see our return policy.","B-PRODUCT,I-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
61,Antique Brass Chandelier,"B-PRODUCT,I-PRODUCT,I-PRODUCT"
62,SUMMERS,B-PRODUCT
63,"Linda Desk Returnable for store credit within 14 days of delivery date. For more information, please see our return policy.","B-PRODUCT,I-PRODUCT,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
